Threshold,tn,fp,fn,tp,fpr,tpr,precision,recall,disaster_type
0.0,0,11400,0,2,1.0,1.0,0.00017540782318891423,1.0,Human Cause
0.005,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.01,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.015,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.02,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.025,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.030000000000000002,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.035,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.04,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.045,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.049999999999999996,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.05499999999999999,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.05999999999999999,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.06499999999999999,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.06999999999999999,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.075,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.08,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.085,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.09000000000000001,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.09500000000000001,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.10000000000000002,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.10500000000000002,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.11000000000000003,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.11500000000000003,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.12000000000000004,11400,0,2,0,0.0,0.0,,0.0,Human Cause
0.0,0,11400,0,2,1.0,1.0,0.00017540782318891423,1.0,Mud/Landslide
0.005,11400,0,2,0,0.0,0.0,,0.0,Mud/Landslide
0.01,11400,0,2,0,0.0,0.0,,0.0,Mud/Landslide
