date,state,Disaster_Prob
1991-05-01,SC,0.04835773094475774
1991-05-01,MN,0.03531951287820256
1991-05-01,MI,0.03468265187601862
1991-05-01,ME,0.03190916297500209
1991-05-01,AL,0.048616484457050614
1991-05-01,AR,0.04767771413566197
1991-05-01,IA,0.04013610110974233
1991-05-01,HI,0.04477593844743539
1991-05-01,FL,0.053233408354773276
1991-05-01,DE,0.04110829658633206
1991-05-01,CT,0.03726579648066154
1991-05-01,CO,0.031468048132336085
1991-05-01,NH,0.03488325493440182
1991-05-01,MD,0.042501812669020034
1991-05-01,NM,0.03937081456352861
1991-05-01,MO,0.04541478645854084
1991-05-01,MT,0.02816368462340582
1991-05-01,NC,0.047369074882919276
1991-05-01,ND,0.033494689822405374
1991-05-01,NE,0.03781802402618144
1991-05-01,MA,0.03725265067007789
1991-05-01,WY,0.02937658545096897
1991-05-01,WV,0.042818303283217445
1991-05-01,WI,0.03533358717387673
1991-05-01,AZ,0.041616043207585066
1991-05-01,VT,0.03438374541966814
1991-05-01,VA,0.04272754352075465
1991-05-01,UT,0.03136342489313321
1991-05-01,TX,0.05066931879782502
1991-05-01,SD,0.036115792295719276
1991-05-01,KS,0.043064338821525515
1991-05-01,TN,0.045873239511832524
1991-05-01,WA,0.028290716343473365
1991-05-01,ID,0.02662059805137009
1991-05-01,IL,0.0433167830047768
1991-05-01,IN,0.0438144634289296
1991-06-01,AK,0.026312046388404075
1991-06-01,AL,0.05133801838314613
1991-06-01,AR,0.05269084903724735
1991-06-01,AZ,0.045231441320325555
1991-06-01,ID,0.030987327384605325
1991-06-01,HI,0.04554982845327905
1991-06-01,FL,0.05558934108435622
1991-06-01,DE,0.04044511547740838
1991-06-01,CO,0.03639523753153119
1991-06-01,CA,0.03869361032010442
1991-06-01,IA,0.04814284377006155
1991-06-01,CT,0.03629009148356253
1991-06-01,MD,0.04306401366290297
1991-06-01,TX,0.05379970829321634
1991-06-01,WA,0.03158754502862375
1991-06-01,WI,0.040272071155517744
1991-06-01,WV,0.041684927932111475
1991-06-01,WY,0.0357483286865972
1991-06-01,NH,0.0355878304055125
1991-06-01,NE,0.04570487859211653
