Threshold,tn,fp,fn,tp,fpr,tpr,precision,recall
0,0,33300,0,623,1.0,1.0,0.018365121009344693,1.0
0,721,32579,15,608,0.9783483483483484,0.9759229534510433,0.018320426673094886,0.9759229534510433
0,4860,28440,49,574,0.8540540540540541,0.9213483146067416,0.01978355276762942,0.9213483146067416
0,10506,22794,104,519,0.6845045045045045,0.8330658105939005,0.02226225710976708,0.8330658105939005
0,16169,17131,186,437,0.5144444444444445,0.7014446227929374,0.024874772313296902,0.7014446227929374
0,22063,11237,297,326,0.3374474474474474,0.5232744783306581,0.02819337542160339,0.5232744783306581
0,30822,2478,543,80,0.07441441441441442,0.12841091492776885,0.03127443315089914,0.12841091492776885
0,33300,0,623,0,0.0,0.0,,0.0
0,33300,0,623,0,0.0,0.0,,0.0
0,33300,0,623,0,0.0,0.0,,0.0
